user,start_date,itemlv
Redmare,2022-06-04,1573.33
Redtwo,2020-08-22,918.33
Regina1st,2023-01-25,1340
RelmArrowny,2022-01-13,1308.83
reonaldo,2021-01-30,1340
REPLEBK,2023-12-20,1566.67
REPLEJ,2020-11-23,915
REPLEV,2023-01-18,1520
Re어카,2023-12-21,1487.5
Re퍄,2023-09-28,1520
riimi,2021-03-26,1325
rlo하,2020-09-29,400
Rosebecca,2022-10-27,500
Rukls,2021-09-13,460
Rylana,2021-12-24,1370
S2워니미대S2,2021-03-02,1370
SAPJOKBOB,2023-12-22,1586.67
SARO,2021-12-26,130
Sa넬,2023-01-20,1490
SClane,2024-01-18,1610
Scythe고라니,2023-07-23,1415
Sean100,2023-01-19,1520
Seo파이터,2021-08-01,1387.5
seworrs,2021-11-30,1370
SharkGura,2021-08-16,1422.5
ShinyTopaz,2022-01-26,1445
Sinnese,2021-10-29,52.5
sionlemir,2021-07-22,1370
SJ블레이드,2021-04-24,184.33
SkyGraffiti,2021-12-21,1370
sk하이닉스양기,2021-04-23,1325
SMD135,2021-08-01,1415
Sokyl,2021-01-21,925
SorcerK,2021-08-13,1349.17
SOULV,2023-07-19,1415
SSOQL,2022-01-22,1370
Ssoty,2021-06-21,627.5
SSS급소울이터의귀환,2023-07-20,1490
SS무야호롤롤롤로SS,2021-09-12,1370
sS에이스퀸Ss,2021-01-04,1045
ST830,2021-10-10,62.5
St아가타,2023-12-22,1580
SundaySeoul,2020-08-23,1308
Sweetbox,2022-01-25,1325
Sweet나비,2021-03-06,1005
Szi존홀나xz2,2021-05-24,190
S쿄이치,2021-06-22,149.17
s효은z,2023-05-04,1460
Tacha,2020-09-25,400
TAD016,2023-01-06,1415
TAD020,2023-12-21,1571.67
taemin252,2021-10-18,556.67
TaesangE,2021-09-07,1302
TheAzureDiva,2021-12-23,1302
ThePeace,2023-07-05,1490
TIDY,2024-07-13,1640
Tini,2023-12-24,1526.67
Ti없OI맑은OrO1,2020-10-06,915
TOPKING0,2023-12-20,1566.67
torsemide,2023-11-12,1462.5
ToTBlack,2021-12-01,1445
Trirusy,2021-07-06,1325
TY,2021-07-03,61.67
UGROON,2024-07-14,1640
uo교머너,2020-09-02,900
urimi,2020-10-06,915
v2B,2021-03-07,1050
VAGOS,2022-02-11,1345.83
VALRHONA,2021-01-09,1325
Varuni,2022-03-19,1325
VAYRAN,2022-08-03,60.83
VVtz,2022-04-09,73.33
v탱탱함,2020-12-01,915
WAR붕이,2020-11-03,960
wdko,2021-08-31,1415
WERMUDA,2023-12-26,1520
Whee크아이,2022-07-20,1475
WillBeBliss,2020-12-22,915
WillBeQueen,2021-07-09,1370
Woooony,2023-02-06,105.83
woori브레끼,2023-12-20,1545
wosowo,2021-08-06,1357.5
XOXOXOXOXO,2024-05-23,1640
xx샴블,2022-04-17,51.67
xx지존스커xx,2021-03-21,1328.33
X민,2024-01-12,1640
x신은죽었다2,2021-11-07,1460
yarus,2021-04-23,185.83
Yattaaa2,2022-07-11,1452.5
YEJINN,2023-07-07,203.33
yeonibaby,2023-07-22,1513.33
yoonight,2022-09-23,90.83
yoonism,2022-07-07,1340
youngoist,2021-03-27,1050
YsVI,2022-08-02,1392.5
YuNoArrow,2022-01-27,1371.67
YuNoDrone,2023-07-05,1500
ZELNY,2021-08-23,1460
zeny48,2022-02-21,1325
